Student_ID,Subject,Difficulty_Level,Midterm_Score,Final_Score,Quiz_Avg,Assignment_Completion_%,Attendance_%,Help_Seeking_Freq,Classroom_Behavior_Score,Submission_Punctuality,Performance
1,AI,4,49.729544709885296,52.18219422524011,64.33618503338472,64.37078753680812,93.81616066856796,4,2.775840332823352,On Time,Good
2,AI,4,43.08321590444961,49.562362357751624,62.04743126422159,23.572176547797056,86.34681472973259,4,3.918935924424398,On Time,Average
3,AI,4,37.52045365470677,54.50307477055549,66.75280171920411,27.787054119246292,91.03277828524756,5,4.98389618761516,On Time,Average
4,AI,4,60.929396647065886,70.33447903354146,78.19004097520956,93.94422455617027,93.58705475239591,5,3.6128913086106995,On Time,Good
5,AI,4,53.9867570709841,63.63025156738577,55.85149465848937,6.900313707206821,81.54624909419829,1,3.261090446866667,On Time,Good
6,AI,4,33.916309239740244,43.94820885909615,55.05853928315282,65.74655979133779,91.26811619314631,5,3.2338519557305796,On Time,Average
7,AI,4,75.27695466557984,79.80033313275806,80.78902201468077,97.2368012680239,84.00100252215945,1,4.699641893052699,On Time,Excellent
8,AI,4,61.55209550237247,53.85762656806021,63.13601571071416,81.13222935323063,71.68457517018088,2,3.9469036152255885,On Time,Good
9,AI,4,36.9629229209401,40.828984015681634,50.54834524170872,8.21699359407107,74.79018736222534,7,4.533934674141381,On Time,Average
10,AI,4,53.010304062481175,67.61154661929179,61.831760681130866,74.78536653664816,98.39520669517816,2,3.321781756151664,On Time,Good
11,AI,4,60.34904114828571,58.58518685195154,58.04248965398568,83.95056397963049,80.78286412076872,7,3.8080242080785536,On Time,Good
12,AI,4,51.67818059935609,57.856801831923974,73.11105305395483,22.285456417973197,85.3301130351891,4,2.909998985517649,On Time,Good
13,AI,4,51.50745926464182,43.26164863347893,71.60842105684408,90.23894187075044,83.7762489537025,3,2.6598583765446486,On Time,Good
14,AI,4,27.490364383812178,30.207687772701508,62.613763709768946,4.472791218688752,81.84020165197967,4,3.399332855466687,On Time,Average
15,AI,4,32.51691237938627,44.98070759490288,60.93519997620912,16.647901625417045,78.66602999799889,4,3.761603184791857,On Time,Average
16,AI,4,38.25948912816723,48.792543113229215,67.75851172671764,47.860280889460135,82.20211380917809,2,3.464849454106347,On Time,Average
17,AI,4,24.0,33.13476033468112,52.431187385685334,9.076597515445025,85.85890219906585,6,2.615520539601282,On Time,Average
18,AI,4,72.56425243130005,61.725652717207154,62.9824194201485,60.07254083398858,82.5315658214305,5,2.9740132368784007,On Time,Good
19,AI,4,41.473009236781905,37.771686654873186,50.54055711820555,29.587269508895236,84.34452595949156,3,3.382350837368943,On Time,Average
20,AI,4,38.85843563787246,57.82221147056921,54.25457724902728,19.373509517297816,77.95301190603631,3,1.517774499055273,On Time,Average
21,AI,4,63.07741019044645,84.0,75.80108377208569,97.5113004930041,90.00318504998307,4,4.7558658292943505,On Time,Excellent
22,AI,4,39.391068987888765,57.78321125869032,62.9477847760653,59.94874975233431,77.54811480346766,3,3.136381374062607,On Time,Average
23,AI,4,47.816037237391534,68.28534909457697,73.82948757512197,86.56408405233854,83.54246762366152,0,3.2701307725522604,Late,Good
24,AI,4,24.0,40.400431639099246,46.744932731114964,10.716015312631804,74.97106685316872,7,2.143768257758533,On Time,Average
25,AI,4,66.32703773528122,56.21054769849833,64.27999318296,31.011966685428522,91.86183053198803,0,2.3654732435596117,On Time,Good
26,AI,4,37.7641059128747,69.88642885011942,53.56819053359479,10.856715240358048,71.97111704796937,0,3.5205746127246287,On Time,Average
27,AI,4,27.170401387305184,44.945051043720106,57.998443866277626,3.7866168985284645,87.51010482186649,10,3.0418105013607803,On Time,Average
28,AI,4,48.354388139592714,55.20510846831388,70.8011574721802,59.17925677640341,72.54873062787084,4,3.6328123586742627,On Time,Good
29,AI,4,55.87437034933572,30.94739351904079,58.280786015812225,11.52371423473061,86.89517034120446,6,3.8565258402765066,On Time,Average
30,AI,4,46.228152494693774,50.2517272448523,65.95054408372927,39.548488200688894,77.13138312712748,2,3.3900937365081414,On Time,Average
31,AI,4,30.621575917401408,56.217165723329146,52.31360826018954,7.028632398421449,87.12375166442914,6,3.6284931784473953,On Time,Average
32,AI,4,80.06616545266277,81.97911612076568,58.951871096973626,98.56630940362592,91.43824067390644,2,3.544923276903286,On Time,Excellent
33,AI,4,56.17503402047548,58.90867840980476,67.38875085621275,36.648342322449565,73.48718425393794,4,3.2281138571372066,On Time,Good
34,AI,4,43.80724028260552,38.0098997608186,71.66352722782636,7.145725438265149,91.63810460292694,5,3.861250735613592,On Time,Average
35,AI,4,64.38279153274028,42.45723343155598,59.14436503915681,54.54242430391862,94.5033501272579,4,4.4942917501533,On Time,Good
36,AI,4,60.735182506114285,36.839412520242426,66.67333519099925,1.8787740971371374,84.14202905610675,6,3.0897607292573275,On Time,Average
37,AI,4,72.93958490040868,53.04518723950804,64.39170524555506,35.432427551098556,80.7124964249161,7,3.37727892939092,On Time,Good
38,AI,4,24.0,31.2740090893021,42.51611720705652,29.81990688175198,83.64999641210062,5,1.9584294861759555,On Time,Fail
39,AI,4,51.95698943912721,46.90370308079494,47.307027344690546,6.662729168729474,69.42124283162033,10,2.5181291633315794,On Time,Average
40,AI,4,54.80029425628023,75.82537646883964,64.11058436623081,59.75323016351244,67.96627596341784,1,3.9809203864975515,On Time,Good
41,AI,4,61.3756239613316,62.61995781836504,63.456634596584216,96.78369853017983,75.45525936644404,2,2.679544440268333,On Time,Good
42,AI,4,33.790974495466415,53.54636492033509,53.353537591883935,60.687118079597326,78.30956883414856,7,4.662705426679452,On Time,Average
43,AI,4,46.13965952223563,50.25129904607667,48.86944433825556,44.54300623151718,78.49871179772278,2,4.185475799814788,On Time,Average
44,AI,4,37.86072714074146,52.23281071318425,54.72072689864151,62.9275156904116,80.31683666687412,5,4.078996459509033,On Time,Average
45,AI,4,42.49536824525882,30.931842492841735,57.157862114811806,0.5459526824205504,75.9624461615732,2,3.129496885356268,On Time,Average
46,AI,4,52.51236292008096,48.00354350351346,59.34957293720135,11.163671854438643,76.92191690809291,4,3.2048537577762852,Late,Average
47,AI,4,24.0,53.901735653720124,56.68690248520044,63.80262443720953,66.22692673883145,5,3.496355506099697,On Time,Average
48,AI,4,59.35087362214645,66.66808289793403,69.90070868542645,95.3852791363569,90.76547584576085,5,3.8089304277640523,On Time,Good
49,AI,4,63.65479794362714,62.011602235732425,73.03830520674381,20.268254444030948,84.25707513066317,0,4.94247430814485,On Time,Good
50,AI,4,29.50280882323821,40.70707453985801,57.33781130665952,29.020730656643128,72.37709070217,12,2.5353823245495763,On Time,Average
51,AI,4,59.53147614397159,39.52187287148351,63.64995047585733,77.92821744379856,97.48050620856074,6,3.376644987841304,On Time,Good
52,AI,4,48.66083187210768,56.51787877979086,68.49916465120393,18.290115477025644,81.52234796189182,4,3.148174083733224,On Time,Good
53,AI,4,45.647382316466675,40.520631540315875,51.93658758073985,72.9632133277279,82.76056585842558,9,2.727604856954992,Late,Average
54,AI,4,52.403613107725704,49.1583712583691,64.25902512776153,64.19943758417838,93.81350636962853,2,4.291261678402808,On Time,Good
55,AI,4,47.14418718360241,53.26547694640955,66.54629412767682,96.70316259665945,77.20511135216384,4,3.704069456142132,On Time,Good
56,AI,4,47.09749971691171,67.64821729588728,57.760774528038226,45.78239520117173,88.54424004712158,3,3.8901308360010685,Late,Good
57,AI,4,47.70134991232679,43.382075495525086,55.44491908561195,11.118273792210946,87.98351273924246,6,3.8821969377505705,On Time,Average
58,AI,4,46.102458796676686,34.088188401633744,44.85426067358151,41.82183344577887,83.03251927500385,4,3.98788634255956,On Time,Average
59,AI,4,50.927511867963396,62.09301246595847,79.95374153832145,62.60266585634563,75.89831303212952,2,3.0513375087673142,On Time,Good
60,AI,4,54.516550848000065,49.35936996323532,60.37841532812129,92.58959906598291,85.04237694892724,5,4.696228259124692,On Time,Good
61,AI,4,41.15636916673958,50.6064712067292,73.29304186214405,30.556956626113912,84.59519621456802,6,2.410551854515842,On Time,Average
